target_variable,status,source_columns,expression,notes,lookup_table,measure
participant_id,compatible,PID,as.character(PID),Five-digit numeric ID; unique and complete.,,
wave,unavailable,,,Cross-sectional (2011-2013); no repeated-wave structure.,,
data_year,compatible,"DietDate, AnthroDate","as.numeric(format(coalesce(DietDate, AnthroDate), ""%Y""))",Year of the Diet and Lifestyle questionnaire (screen-time items); anthropometry date if missing.,,
rct_arm,unavailable,,,"Observational, not a trial.",,
survey_weight,unavailable,,,Not released.,,
survey_strata,partial,SITE_ID,as.character(as.integer(SITE_ID)),"Study site code (1-13); each site drew its own school sample, so sites are design strata. Partial: the within-site school strata (by SES indicator) are not released.",,
survey_cluster,compatible,school_ID,as.character(as.integer(school_ID)),"School ID (256 schools, unique across sites); schools were the primary sampling unit within each site.",,
age_years,compatible,Age_Year,as.numeric(Age_Year),Age at the anthropometric visit (= AgeAtAnthroMos / 12). Sample restricted to 9.0-11.99 years by design; complete.,,
sex,compatible,Gender,"recode_values(as.integer(Gender), 1L ~ ""Male"", 2L ~ ""Female"", default = ""Unknown"")",Parent-reported child gender.,,
country,compatible,SITE_ID,"recode_values(
  as.integer(SITE_ID),
  1L ~ ""USA"",
  2L ~ ""England"",
  3L ~ ""Australia"",
  4L ~ ""Portugal"",
  5L ~ ""South Africa"",
  6L ~ ""Kenya"",
  8L ~ ""Colombia"",
  9L ~ ""Brazil"",
  10L ~ ""Canada"",
  11L ~ ""China"",
  12L ~ ""India"",
  13L ~ ""Finland"",
  default = ""Unknown""
)","Each site is one metropolitan area; site 2 (Bath) maps to England. Added Australia, Brazil, China, Colombia, India, Kenya, South Africa to allowed_values.",,
state,inferred,SITE_ID,"if_else(as.integer(SITE_ID) == 3L, ""SA"", NA_character_)","Australian site was Adelaide, SA (from the study protocol, not a data variable). Other sites NA.",,
ethnicity,proximate,"ALL_Ethnicity, ALL_Ethnicity_OtherInput, Hispanic, SITE_ID","local({
  other_text <- if_else(as.integer(ALL_Ethnicity) == 38L, toupper(trimws(ALL_Ethnicity_OtherInput)), NA_character_)
  case_when(
    as.integer(Hispanic) == 1L & as.integer(SITE_ID) %in% c(1L, 10L) ~ ""Hispanic"",
    .default = coalesce(
      lookup_values(other_text, lookup_ethnicity_other),
      lookup_values(
        haven::as_factor(ALL_Ethnicity),
        lookup_ethnicity,
        dataset_id = spec$dataset_id,
        target_variable = ""ethnicity""
      ),
      ""Unknown""
    )
  )
})","Parent-reported single choice (ALLETH, pan-study plus site-specific options) via the shared lookup; 'Other' free text is resolved first through lookups/ethnicity_other.csv (declared on indigenous), unmatched text stays Other and a bare nationality or religion is Unknown. The Hispanic-origin item sets Hispanic at the US and Canada sites only. Proximate: the lists fit several sites poorly (India recorded religion, Colombia has no Mestizo option) and Arab, Indigenous and Pacific groups fold into Other.",ethnicity,
indigenous,partial,"ALL_Ethnicity, ALL_Ethnicity_OtherInput, SITE_ID","local({
  other_text <- if_else(as.integer(ALL_Ethnicity) == 38L, toupper(trimws(ALL_Ethnicity_OtherInput)), NA_character_)
  other_indigenous <- lookup_values(other_text, lookup_ethnicity_other, value_col = ""indigenous"")
  case_when(
    as.integer(ALL_Ethnicity) %in% c(18L, 21L, 25L, 32L, 45L) ~ ""Indigenous"",
    other_indigenous %in% ""Indigenous"" ~ ""Indigenous"",
    is.na(ALL_Ethnicity) | as.integer(ALL_Ethnicity) == 37L ~ ""Unknown"",
    !as.integer(SITE_ID) %in% c(1L, 3L, 8L, 9L, 10L) ~ ""Unknown"",
    other_indigenous %in% ""Unknown"" ~ ""Unknown"",
    .default = ""Non-Indigenous""
  )
})","Indigenous: ALLETH Aboriginal or Torres Strait Islander, American Indian/Alaska Native, Indigenous (Colombia), Brazilian Indian or First Nations, or Aboriginal, First Nations, Inuit or Native Canadian in the 'Other' text (ethnicity_other, declared here; bindings are file-wide). Don't Know, missing, and the UK, Portugal, South Africa, Kenya, China, India and Finland sites, whose lists offered no Indigenous option, are Unknown. Partial: the single choice pushes multi-heritage children outside Indigenous.",ethnicity_other,
minority,proximate,"SITE_ID, ALL_Ethnicity, ALL_Ethnicity_OtherInput, Hispanic","local({
  site <- as.integer(SITE_ID)
  other_group <- lookup_values(
    if_else(as.integer(ALL_Ethnicity) == 38L, toupper(trimws(ALL_Ethnicity_OtherInput)), NA_character_),
    lookup_ethnicity_other
  )
  case_when(
    as.integer(Hispanic) == 1L & site %in% c(1L, 10L) ~ ""Minority"",
    !is.na(other_group) & site %in% c(1L, 2L, 3L, 4L, 10L, 13L) ~ recode_values(
      other_group,
      ""White"" ~ ""Non-minority"",
      ""Unknown"" ~ ""Unknown"",
      default = ""Minority""
    ),
    !is.na(other_group) & site %in% c(5L, 6L) ~ recode_values(
      other_group,
      ""Black"" ~ ""Non-minority"",
      ""Unknown"" ~ ""Unknown"",
      default = ""Minority""
    ),
    .default = lookup_values(
      paste(haven::as_factor(SITE_ID), haven::as_factor(ALL_Ethnicity), sep = "" | ""),
      lookup_minority,
      default = ""Unknown""
    )
  )
})","Same item and free-text resolution as ethnicity, judged against each site's national majority (lookups/minority.csv): White at the US, UK, Australia, Portugal, Canada and Finland sites, Black in South Africa and Kenya, Han in China. Hispanic at the US and Canada sites is Minority; Brazil (no majority group), India (religion only) and Colombian Other, Don't Know and Mixed (no Mestizo option) are Unknown. Proximate: single choice from site lists that fit several countries poorly.",minority,
immigrant_background,incompatible,Birth_country,,Child's birth country only; parents' birthplace not collected.,,
