dataset_id,target_variable,source_value,harmonised_value,mapping_status,notes
1639,maternal_education,6th/7th for,Secondary school or less,compatible,Original values cutoff
1639,maternal_education,5th form or,Secondary school or less,compatible,Original values cutoff
1639,maternal_education,Post-second,Post-secondary,compatible,Original values cutoff
1639,maternal_education,Degree or h,Bachelor degree or higher,compatible,Original values cutoff
232,maternal_education,Less than high school,Secondary school or less,compatible,"A#_GRADE codes 1-2, grouped as in the DRC HIGRADE_TVIS derivation"
232,maternal_education,High school or GED,Secondary school or less,compatible,"A#_GRADE codes 3-4, grouped as in the DRC HIGRADE_TVIS derivation"
232,maternal_education,Some college or technical school,Post-secondary,compatible,"A#_GRADE codes 5-6, grouped as in the DRC HIGRADE_TVIS derivation"
232,maternal_education,College degree or higher,Bachelor degree or higher,compatible,"A#_GRADE codes 7-9, grouped as in the DRC HIGRADE_TVIS derivation"
232,maternal_education,Mother not identified or education not reported,Unknown,compatible,"No caregiver met the DRC mother definition, or that caregiver had no education recorded"
270,maternal_education,Did not go to school,Secondary school or less,compatible,PSCHOOL2 code 1
270,maternal_education,Graduated elementary school,Secondary school or less,compatible,PSCHOOL2 code 2
270,maternal_education,Graduated middle school,Secondary school or less,compatible,PSCHOOL2 code 3
270,maternal_education,Graduated high school,Secondary school or less,compatible,PSCHOOL2 code 4
270,maternal_education,Graduated 2-3 year college,Post-secondary,compatible,"PSCHOOL2 code 5; 2-3 year junior college, below bachelor level"
270,maternal_education,Graduated 4 year college,Bachelor degree or higher,compatible,PSCHOOL2 code 6
270,maternal_education,Graduated graduate school,Bachelor degree or higher,compatible,PSCHOOL2 code 7; master or doctorate
270,maternal_education,Not reported or not applicable,Unknown,compatible,"PSCHOOL2 codes 8 (Not sure), 9 (undocumented, father/mother absent) and 10 (Not applicable), plus missing guardian records"
838,maternal_education,Primary or below,Secondary school or less,compatible,Hong Kong primary schooling or none
838,maternal_education,Lower secondary,Secondary school or less,compatible,Hong Kong lower secondary (Forms 1-3)
838,maternal_education,Uppwer secondary,Secondary school or less,compatible,Hong Kong upper secondary (Forms 4-6); source label carries the typo 'Uppwer'
838,maternal_education,Post-secondary,Post-secondary,proximate,"Hong Kong post-secondary spans sub-degree and degree study, so degree holders cannot be separated into Bachelor degree or higher"
788,maternal_education,"Keinen Abschluss, noch in beruflicher Ausbildung",Secondary school or less,compatible,"No vocational qualification yet, still in training; school level only."
788,maternal_education,Keinen Berufsabschluss und nicht in Ausbildung,Secondary school or less,compatible,No vocational qualification and not in training; school level only.
788,maternal_education,"Lehre, also beruflich-betriebliche Ausbildung",Secondary school or less,compatible,Dual-system apprenticeship; ISCED 3B upper-secondary vocational rather than post-secondary.
788,maternal_education,"Ausbildung an Berufsfachschule, Handelsschule (beruflich-schulische Ausbildung)",Secondary school or less,compatible,School-based vocational training (Berufsfachschule/Handelsschule); ISCED 3B/4.
788,maternal_education,"Fachschule, z.B. Meister-, Technikerschule, Berufs- oder Fachakademie",Post-secondary,compatible,"Fachschule, Meister, Techniker or Fachakademie; ISCED 5B tertiary-level but below degree."
788,maternal_education,"Fachhochschule, Ingenieurschule",Bachelor degree or higher,compatible,University of applied sciences degree; bachelor-equivalent (ISCED 5A).
788,maternal_education,Universität oder Hochschule,Bachelor degree or higher,compatible,University degree (ISCED 5A/6).
788,maternal_education,Anderen Ausbildungsabschluss (z.B. im Ausland erworben),Unknown,incompatible,"Residual other qualification, e.g. obtained abroad; not rankable against the German ladder."
788,maternal_education,Filterbed. fehlend (Elternteil nicht im HH),Unknown,unavailable,"Mother not resident in the household, so no qualification was asked."
788,maternal_education,Nicht erhoben,Unknown,unavailable,Item not administered for this respondent.
31,maternal_education,Less than high school,Secondary school or less,compatible,CM#EDU code 1
31,maternal_education,High school or equivalent,Secondary school or less,compatible,CM#EDU code 2; includes GED
31,maternal_education,Some college or technical school,Post-secondary,compatible,CM#EDU code 3
31,maternal_education,College degree or higher,Bachelor degree or higher,compatible,CM#EDU code 4
31,maternal_education,Unknown,Unknown,compatible,"Mother not interviewed at the wave, or (Year 15) the primary caregiver is not the biological mother"
170,maternal_education,Completed grade school or less,Secondary school or less,compatible,MTF code 1
170,maternal_education,Some high school,Secondary school or less,compatible,MTF code 2
170,maternal_education,Completed high school,Secondary school or less,compatible,MTF code 3
170,maternal_education,Some college,Post-secondary,compatible,MTF code 4; college entered but not completed
170,maternal_education,Completed college,Bachelor degree or higher,compatible,MTF code 5
170,maternal_education,Graduate or professional school after college,Bachelor degree or higher,compatible,MTF code 6
170,maternal_education,"Don't know, or does not apply",Unknown,compatible,"MTF code 7, plus the -9 missing code used up to 2011"
1629,maternal_education,Not completed primary education,Secondary school or less,compatible,ISCED 0
1629,maternal_education,Primary or first stage of basic,Secondary school or less,compatible,ISCED 1
1629,maternal_education,Lower secondary or second stage of basic,Secondary school or less,compatible,ISCED 2
1629,maternal_education,Upper secondary,Secondary school or less,compatible,ISCED 3
1629,maternal_education,"Post secondary, non tertiary",Post-secondary,compatible,ISCED 4
1629,maternal_education,First stage of tertiary,Bachelor degree or higher,compatible,ISCED 5
1629,maternal_education,Second stage of tertiary,Bachelor degree or higher,compatible,ISCED 6
1629,maternal_education,Unknown,Unknown,unavailable,"Dont know, no answer, single-parent household, or the interviewed carer is not a parent"
1353,maternal_education,Middle school graduate or less,Secondary school or less,compatible,E_EDU_M code 1 (중학교 졸업 이하).
1353,maternal_education,High school graduate,Secondary school or less,compatible,E_EDU_M code 2 (고등학교 졸업).
