target_variable,status,source_columns,expression,notes,lookup_table,measure
participant_id,inferred,participant_id,as.character(participant_id),"No identifier in either sheet; built from row order: `d001`-`d175` (T1 cross-section), `l008`-`l107` (10 T2 respondents unmatched to their T1 questionnaire). Stable within this release only.",,
wave,compatible,wave,as.character(wave),"Study's own wave labels: T1 = 2016/17 baseline, T2 = 2019/20 follow-up.",,
data_year,inferred,wave,"recode_values(wave, ""T1"" ~ 2016, ""T2"" ~ 2019)","T1 device-use/demographic items May-Aug 2016, T1 SDQ Dec 2016-May 2017; age at T1 fits 2016. T2 fieldwork Nov 2019-Jan 2020 (doi:10.3390/su14148845, Section 2.1).",,
rct_arm,unavailable,,,Not a randomised trial.,,
survey_weight,unavailable,,,Not a survey sample.,,
survey_strata,unavailable,,,Not a survey sample.,,
survey_cluster,unavailable,,,Not a survey sample.,,
age_years,compatible,Child_age,as.numeric(Child_age),"Exact age in decimal years, derived by the study from date of birth.",,
sex,compatible,Child_sex,"recode_values(as.numeric(modal_within(Child_sex, participant_id)), 1 ~ ""Male"", 2 ~ ""Female"", default = ""Unknown"")","Parent-reported, codebook 1 = boy, 2 = girl; binary only. Modal value per child across waves; two children recorded as a boy at one wave and a girl at the other tie and map to Unknown.",,
country,inferred,,"""Hungary""","Not recorded; inferred from recruitment, the Hungarian SDQ version and the authors' affiliation (Eotvos Lorand University; doi:10.3390/su14148845, Sections 2.1-2.2).",,
state,unavailable,,,Not an Australian dataset.,,
ethnicity,unavailable,,,Not collected.,,
indigenous,unavailable,,,Not collected.,,
minority,unavailable,,,Not collected.,,
immigrant_background,unavailable,,,Not collected.,,
born_in_country,unavailable,,,Not collected.,,
ses_area,unavailable,,,Not collected.,,
ses_household,incompatible,"Nr_of_mobile, Nr_of_tablets, Nr_of_people_in_household, Nr_of_people_under_18",,"No income, occupation, affluence or subjective-standing item; mobile/tablet counts are T2-only and part of the screen-use exposure.",,
ses_household_measure,unavailable,,,See ses_household.,,
ses_hukou,unavailable,,,Hukou not asked.,,
maternal_education,incompatible,"Respondant_edu, Spouse_edu",,"T2 has respondent and spouse education but not the respondent's sex, so neither maps to the mother; T1 has no per-parent values. See parental_education.",,
paternal_education,incompatible,"Respondant_edu, Spouse_edu",,"Respondent's sex not recorded, so neither column maps to the father. See maternal_education.",,
